PC  Teal                                                               Stack
1   <intcblock>
10  <bytecblock>
13  byte ""                                                            0x
14  callsub test_self_ref_phi                                          0x
131 proto 0 1                                                          0x
134 int 1                                                              0x, 1
135 frame_dig 0                                                        0x, 1, 1
137 int 100                                                            0x, 1, 1, 100
138 <                                                                  0x, 1, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 1
142 frame_dig 0                                                        0x, 1, 1
144 int 105                                                            0x, 1, 1, 105
146 %                                                                  0x, 1, 1
147 int 0                                                              0x, 1, 1, 0
148 ==                                                                 0x, 1, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 1
155 frame_dig 0                                                        0x, 1, 1
157 int 21                                                             0x, 1, 1, 21
159 %                                                                  0x, 1, 1
160 bnz test_self_ref_phi_after_if_else@6                              0x, 1
166 frame_dig 0                                                        0x, 1, 1
168 int 1                                                              0x, 1, 1, 1
169 +                                                                  0x, 1, 2
170 frame_bury 0                                                       0x, 2
172 b test_self_ref_phi_while_top@1                                    0x, 2
135 frame_dig 0                                                        0x, 2, 2
137 int 100                                                            0x, 2, 2, 100
138 <                                                                  0x, 2, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 2
142 frame_dig 0                                                        0x, 2, 2
144 int 105                                                            0x, 2, 2, 105
146 %                                                                  0x, 2, 2
147 int 0                                                              0x, 2, 2, 0
148 ==                                                                 0x, 2, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 2
155 frame_dig 0                                                        0x, 2, 2
157 int 21                                                             0x, 2, 2, 21
159 %                                                                  0x, 2, 2
160 bnz test_self_ref_phi_after_if_else@6                              0x, 2
166 frame_dig 0                                                        0x, 2, 2
168 int 1                                                              0x, 2, 2, 1
169 +                                                                  0x, 2, 3
170 frame_bury 0                                                       0x, 3
172 b test_self_ref_phi_while_top@1                                    0x, 3
135 frame_dig 0                                                        0x, 3, 3
137 int 100                                                            0x, 3, 3, 100
138 <                                                                  0x, 3, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 3
142 frame_dig 0                                                        0x, 3, 3
144 int 105                                                            0x, 3, 3, 105
146 %                                                                  0x, 3, 3
147 int 0                                                              0x, 3, 3, 0
148 ==                                                                 0x, 3, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 3
155 frame_dig 0                                                        0x, 3, 3
157 int 21                                                             0x, 3, 3, 21
159 %                                                                  0x, 3, 3
160 bnz test_self_ref_phi_after_if_else@6                              0x, 3
166 frame_dig 0                                                        0x, 3, 3
168 int 1                                                              0x, 3, 3, 1
169 +                                                                  0x, 3, 4
170 frame_bury 0                                                       0x, 4
172 b test_self_ref_phi_while_top@1                                    0x, 4
135 frame_dig 0                                                        0x, 4, 4
137 int 100                                                            0x, 4, 4, 100
138 <                                                                  0x, 4, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 4
142 frame_dig 0                                                        0x, 4, 4
144 int 105                                                            0x, 4, 4, 105
146 %                                                                  0x, 4, 4
147 int 0                                                              0x, 4, 4, 0
148 ==                                                                 0x, 4, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 4
155 frame_dig 0                                                        0x, 4, 4
157 int 21                                                             0x, 4, 4, 21
159 %                                                                  0x, 4, 4
160 bnz test_self_ref_phi_after_if_else@6                              0x, 4
166 frame_dig 0                                                        0x, 4, 4
168 int 1                                                              0x, 4, 4, 1
169 +                                                                  0x, 4, 5
170 frame_bury 0                                                       0x, 5
172 b test_self_ref_phi_while_top@1                                    0x, 5
135 frame_dig 0                                                        0x, 5, 5
137 int 100                                                            0x, 5, 5, 100
138 <                                                                  0x, 5, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 5
142 frame_dig 0                                                        0x, 5, 5
144 int 105                                                            0x, 5, 5, 105
146 %                                                                  0x, 5, 5
147 int 0                                                              0x, 5, 5, 0
148 ==                                                                 0x, 5, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 5
155 frame_dig 0                                                        0x, 5, 5
157 int 21                                                             0x, 5, 5, 21
159 %                                                                  0x, 5, 5
160 bnz test_self_ref_phi_after_if_else@6                              0x, 5
166 frame_dig 0                                                        0x, 5, 5
168 int 1                                                              0x, 5, 5, 1
169 +                                                                  0x, 5, 6
170 frame_bury 0                                                       0x, 6
172 b test_self_ref_phi_while_top@1                                    0x, 6
135 frame_dig 0                                                        0x, 6, 6
137 int 100                                                            0x, 6, 6, 100
138 <                                                                  0x, 6, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 6
142 frame_dig 0                                                        0x, 6, 6
144 int 105                                                            0x, 6, 6, 105
146 %                                                                  0x, 6, 6
